date_witness,date_agent,witness,agent,latitude,longitude,city_agent,country,city,has_weapon,has_hat,has_jacket,behavior
1986-09-18,1986-10-06,Jeremy Tyler,Brittany Henderson,-17.83333,48.41667,Ambatondrazaka,MG,Antananarivo,false,true,true,lonely
2011-10-01,2011-11-18,Angelica Miller,Jerry Erickson,-19.65,47.31667,Antanifotsy,MG,Antananarivo,false,true,true,lonely
1999-03-16,1999-04-30,Robert Martinez,Jasmine Rowland,-17.83333,48.41667,Ambatondrazaka,MG,Antananarivo,true,true,false,accusatory
2010-04-06,2010-05-17,Jessica Stewart,Stephanie Brooks,-22.9,44.53333,Sakaraha,MG,Antananarivo,false,true,true,happy
1996-09-24,1996-10-16,James King,Emily Ruiz,-19.65,47.31667,Antanifotsy,MG,Antananarivo,false,true,true,hostile
1988-10-22,1988-12-19,Sarah Knight,Candice Johnson,-22.9,44.53333,Sakaraha,MG,Antananarivo,false,true,true,friendly
2012-12-04,2012-12-18,Brandi Harris,Melinda Soto,-17.83333,48.41667,Ambatondrazaka,MG,Antananarivo,false,false,true,fleeing
1995-05-18,1995-06-23,Ronald Sandoval,Justin Whitehead,-22.9,44.53333,Sakaraha,MG,Antananarivo,false,true,true,silent
1999-03-18,1999-05-02,Laura Moore,Christopher Morris,-22.9,44.53333,Sakaraha,MG,Antananarivo,false,false,true,happy
1989-10-25,1989-12-07,William Rice,Mackenzie Gilbert,-19.65,47.31667,Antanifotsy,MG,Antananarivo,false,false,true,hostile
1990-02-06,1990-03-17,Jennifer Mullen,Elizabeth Cook,-21.15,46.58333,Ikalamavony,MG,Antananarivo,false,false,true,accusatory
1992-04-15,1992-05-30,Kimberly Coleman,Rebecca Russell,-22.9,44.53333,Sakaraha,MG,Antananarivo,false,false,true,complaining
1998-05-15,1998-06-29,Ashley Elliott,Justin White,-21.15,46.58333,Ikalamavony,MG,Antananarivo,false,false,true,hostile
1985-08-21,1985-09-08,Erin Rice,Patricia Hall,-21.15,46.58333,Ikalamavony,MG,Antananarivo,false,true,true,fleeing
2017-11-30,2017-12-17,Sabrina Mitchell,Garrett Lawrence,-22.9,44.53333,Sakaraha,MG,Antananarivo,false,true,true,talkative
2005-04-11,2005-04-12,Tammy Foster,Rachel Lucas,-19.65,47.31667,Antanifotsy,MG,Antananarivo,false,false,true,unhappy
2016-05-19,2016-06-05,Adriana Howard,Joseph Arellano,-19.65,47.31667,Antanifotsy,MG,Antananarivo,false,true,true,injured
2004-10-06,2004-10-29,Danielle Reed,Allen Baker,-21.15,46.58333,Ikalamavony,MG,Antananarivo,false,true,true,over-complimenting
1988-02-16,1988-03-22,Melissa Graham,Stephen Ferguson,-21.15,46.58333,Ikalamavony,MG,Antananarivo,false,false,true,friendly
1998-12-05,1999-01-04,Christopher Vincent,Frank Gutierrez,-20.88231,55.4504,Saint-Denis,RE,Reunion,false,true,true,fleeing
1991-03-07,1991-04-01,William Sellers,Ashley Taylor,-17.83333,48.41667,Ambatondrazaka,MG,Antananarivo,false,true,true,fleeing
2007-01-29,2007-02-11,Terri Taylor,Nicole Rogers,-20.88231,55.4504,Saint-Denis,RE,Reunion,false,true,true,fleeing
1985-06-04,1985-07-06,Brandy Randolph,Tammy Bruce,-17.83333,48.41667,Ambatondrazaka,MG,Antananarivo,false,true,true,talkative
1991-09-19,1991-11-14,Steve Nelson,Kathleen Hicks,-21.15,46.58333,Ikalamavony,MG,Antananarivo,false,true,false,complaining
2015-08-20,2015-10-04,David Brown,Kathryn Martin,-19.65,47.31667,Antanifotsy,MG,Antananarivo,false,true,true,insulting
1989-05-19,1989-05-28,Kathleen Conrad,Todd Robinson,-20.88231,55.4504,Saint-Denis,RE,Reunion,false,true,true,silent
2004-07-14,2004-08-25,James Marshall,Stephanie Taylor,-21.15,46.58333,Ikalamavony,MG,Antananarivo,false,true,true,silent
2014-11-25,2014-12-13,Stacy Beasley,Denise Park,-17.83333,48.41667,Ambatondrazaka,MG,Antananarivo,false,true,true,unhappy
1985-11-25,1986-01-23,Christopher Gay,Adam Montes,-19.65,47.31667,Antanifotsy,MG,Antananarivo,false,true,true,unhappy
2020-02-18,2020-03-03,Janice Duncan,Erin Ray,-17.83333,48.41667,Ambatondrazaka,MG,Antananarivo,false,true,true,happy
2020-05-17,2020-05-27,Patrick Johnson,Victor Tapia,-17.83333,48.41667,Ambatondrazaka,MG,Antananarivo,false,true,true,insulting
2017-01-07,2017-01-16,John Barton,Ashley Vaughn,-21.15,46.58333,Ikalamavony,MG,Antananarivo,false,true,true,talkative
2020-05-28,2020-07-19,Elizabeth Martin,Hannah Lindsey,-22.9,44.53333,Sakaraha,MG,Antananarivo,false,false,true,sad
1993-06-07,1993-06-25,Brittany Larson,Edward Hernandez,-21.15,46.58333,Ikalamavony,MG,Antananarivo,false,false,true,scared
2021-06-11,2021-07-02,Mark Owens,Adam Irwin,-22.9,44.53333,Sakaraha,MG,Antananarivo,false,true,true,hostile
2009-12-09,2009-12-30,Sarah Riley,Sarah Brown,-19.65,47.31667,Antanifotsy,MG,Antananarivo,false,true,true,complaining
