date_witness,date_agent,witness,agent,latitude,longitude,city_agent,country,city,has_weapon,has_hat,has_jacket,behavior
1990-01-12,1990-02-17,Sarah Johnson,Mr. James Hooper,20.88953,-156.47432,Kahului,US,Honolulu,false,false,true,sad
1994-12-11,1995-01-12,Karen Morris,Kayla Klein,20.88953,-156.47432,Kahului,US,Honolulu,false,true,true,tense
2018-08-26,2018-10-12,Manuel Smith,Brandy White,-5.85746,144.23058,Mount Hagen,PG,Port Moresby,false,false,true,panicking
2004-02-06,2004-03-24,Melanie Young,Stephanie Brooks,20.88953,-156.47432,Kahului,US,Honolulu,false,true,true,over-complimenting
2006-10-05,2006-10-18,Kevin Meadows,Patricia Hall,20.88953,-156.47432,Kahului,US,Honolulu,false,true,true,hostile
2014-01-22,2014-01-22,John Tran,Elizabeth Cooper,-44.39672,171.25364,Timaru,NZ,Auckland,false,true,true,paranoid
1987-11-06,1987-12-05,Alicia Bryant,Phillip Quinn,-17.73648,168.31366,Port-Vila,VU,Efate,false,true,true,unhappy
1998-08-20,1998-09-18,Linda Santana,Eugene Brown,-5.85746,144.23058,Mount Hagen,PG,Port Moresby,false,true,true,panicking
1994-11-14,1994-12-10,John Gonzalez,Brandy White,20.88953,-156.47432,Kahului,US,Honolulu,false,false,true,paranoid
2008-12-09,2009-02-03,Misty Rodriguez,Christopher Morrison,-5.85746,144.23058,Mount Hagen,PG,Port Moresby,false,true,true,insulting
1998-01-23,1998-02-13,Andrew Johnson,Jacob Carlson,-38.65333,178.00417,Gisborne,NZ,Auckland,false,false,true,insulting
2003-03-13,2003-04-02,Elijah Frazier,William Barton,-38.65333,178.00417,Gisborne,NZ,Auckland,true,false,true,scared
2013-09-29,2013-10-11,Angela Scott,Bryce Alvarado,-44.39672,171.25364,Timaru,NZ,Auckland,false,true,true,complaining
2003-05-21,2003-06-21,Angelica Baker,Michael Tate,20.88953,-156.47432,Kahului,US,Honolulu,true,true,true,lonely
1986-01-11,1986-01-25,Ann Irwin,Patricia Miller,-17.73648,168.31366,Port-Vila,VU,Efate,false,true,true,unhappy
1987-03-12,1987-03-24,Lindsey Walker,Julian Anderson,-5.85746,144.23058,Mount Hagen,PG,Port Moresby,false,false,true,injured
1994-07-30,1994-08-08,Elizabeth Morris,Gordon Jimenez,-17.73648,168.31366,Port-Vila,VU,Efate,false,true,true,unhappy
1990-12-12,1990-12-26,John Sullivan,Christopher Miller,-17.73648,168.31366,Port-Vila,VU,Efate,false,true,true,silent
2006-03-11,2006-04-10,Erik Turner,Mr. Rodney Franco,-17.73648,168.31366,Port-Vila,VU,Efate,false,true,true,tense
2013-05-14,2013-06-04,Debbie Lambert,Misty Marshall,-44.39672,171.25364,Timaru,NZ,Auckland,false,false,true,scared
1989-04-01,1989-05-04,Mitchell Mcbride,Kelly Barnes,-5.85746,144.23058,Mount Hagen,PG,Port Moresby,true,true,true,friendly
2015-04-29,2015-06-19,Richard James,Patricia Miller,20.88953,-156.47432,Kahului,US,Honolulu,false,true,true,sad
2001-01-19,2001-02-18,Kenneth Taylor,Kimberly Cooper,-5.85746,144.23058,Mount Hagen,PG,Port Moresby,false,true,true,happy
2020-01-28,2020-02-18,Taylor Kelley,Janice Carroll,-17.73648,168.31366,Port-Vila,VU,Efate,false,true,true,sad
1987-11-25,1988-01-11,David Bean,Joshua Moore,-44.39672,171.25364,Timaru,NZ,Auckland,true,true,true,unhappy
1999-04-02,1999-04-27,Deborah Lopez,James Kennedy,-44.39672,171.25364,Timaru,NZ,Auckland,false,false,true,injured
2015-06-15,2015-08-06,Nicole Cruz,Donna Martin,20.88953,-156.47432,Kahului,US,Honolulu,false,true,true,injured
1992-08-06,1992-08-14,Travis Hudson,Angelica Chan,-44.39672,171.25364,Timaru,NZ,Auckland,false,false,true,scared
2007-05-08,2007-05-08,Anita Murray,Charles Walls,20.88953,-156.47432,Kahului,US,Honolulu,false,false,true,complaining
1985-11-29,1985-11-29,Alice Nelson,Kaitlyn Johns,-44.39672,171.25364,Timaru,NZ,Auckland,false,true,true,over-complimenting
2012-02-04,2012-03-22,Amanda Navarro,Christopher Morris,-5.85746,144.23058,Mount Hagen,PG,Port Moresby,false,true,true,oblivious
1999-10-27,1999-12-25,Kimberly Navarro,John Carlson,-44.39672,171.25364,Timaru,NZ,Auckland,false,false,true,unhappy
1999-01-21,1999-03-03,Anna Huynh,Lori Lowery,-38.65333,178.00417,Gisborne,NZ,Auckland,false,false,true,evasive
2011-10-30,2011-11-04,Susan Duran,James Williams,-44.39672,171.25364,Timaru,NZ,Auckland,false,false,true,scared
2004-12-28,2005-01-30,Andrea Randall,Jeremy Moran,20.88953,-156.47432,Kahului,US,Honolulu,false,true,true,tense
1993-11-20,1993-12-24,Debra Morris,Patricia Miller,20.88953,-156.47432,Kahului,US,Honolulu,false,true,true,panicking
2008-11-03,2008-11-17,Steven Hudson,Chad Chandler,-17.73648,168.31366,Port-Vila,VU,Efate,false,true,true,panicking
2013-08-12,2013-09-16,Alexander Lee,Anthony Hamilton,-17.73648,168.31366,Port-Vila,VU,Efate,true,false,true,over-complimenting
2017-10-21,2017-10-27,Emma Newman,Shawn Ramirez,-38.65333,178.00417,Gisborne,NZ,Auckland,false,true,true,lonely
2012-05-01,2012-05-23,Frank Cooper,Taylor Robinson,-17.73648,168.31366,Port-Vila,VU,Efate,false,false,false,complaining
